proposition,auteur,age
Il faut instaurer un Revenu de Base Universel en France et si possible à l'échelle européenne voire mondiale.,Jon,
Il faut changer notre système éducatif dominé par les notes et les résultats en préférant l’école de la connaissance et de la curiosité.,Hugo,17
"Il faut obliger la communication du bilan carbone global d'un produit (production, transport, recyclage) aux clients",charles,45
Il faut donner un statut valorisant aux dirigeants des PME et TPE qui sera le moteur de l’économie,Christian,60
"Il faut une agriculture saine, sans pesticides nocifs pour les règnes animaux, végétaux et minéraux",Anne Marie,67
Il faut la gratuité des transports publics pour réduire l'impact écologique des voitures individuelles,Aude,
"Il faut délocaliser massivement pour ramener des emplois aux villages et donc avoir des commerces, médecins, etc. sur place",Jérôme,45
Il faut imposer les revenus du capital au moins 2 fois plus que ceux du travail,Marie-Laure,58
"Il faut revenir à des services de proximité : postes, banques, avec des vrais gens et pas des automates ",Rachel,
Il faut une juste rémunération pour nos agriculteurs ,Margaux,23
Il faut créer des budgets participatifs pour une meilleure justice sociale en votant la répartition des richesses prélevées par l'impôt,Davy Jones,24
Il faut redistribuer les terres agricoles pour favoriser les exploitations à taille humaine.,Isabelle,
Il faut encourager la culture des potagers aussi bien en milieu rural que urbain et l'installation de poulaillers.,Claire,
Il faut une facilitation financière et une approche plus pertinentes pour augmenter la consommation de produits végétaux et locaux ,Ophélie,
"Il faut augmenter les moyens du service des fraudes fiscales, pour récupérer les 100 milliards de fraudes à l’année.",Boris ,
Il faut repenser notre urbanisme et nos modes de vie pour réduire la place de la voiture individuelle,Clémence,
"Il faut imposer un contrôle vidéo dans les abattoirs et les sanctionner, mieux former le personnel, interdire l'abattage sans étourdissement",Delphine,47
"Il faut que toutes les décisions prises par les instances : Etat, région, département, commune comportent un volet social et environnemental",Nadine,55
Il faut soutenir fiscalement le télétravail pour permettre aux gens d’habiter plus loin des centres ville et d’accéder à des loyers plus bas,Philippe,
"Il faut un salaire universel pour tous et ne plus faire autant de fleurs aux plus riches (évasion fiscale, isf, impôt sur le revenu)",Marine,34
"Il faut repenser l'organisation territoriale sur des bases durables intégrant l'ensemble des dimensions (environnement, société, économie).",Vincent,
Il faut soutenir le développement d’une filière « retrofit » permettant de convertir des anciens véhicules essence en véhicules électriques,Xavier,49
Il faut favoriser les solutions de libre service pour les transports dans les villes,Davy Jones,24
Il faut obliger les grandes entreprises à investir une part de leurs bénéfices dans des services solidaires de leur domaine de compétence ,Gérard,60
Il faut passer à une forme de république avec des citoyens décideurs !,Les Amis,
Il faut réfléchir au revenu universel.,Corine,54
Il faut protéger la vie privée,Catherine,
"Il faut dans les grandes copropriétés mutualiser les voitures pour réduire leur nombre, gagner de la place et par ex créer jardins partagés.",stephane,
Il faut supprimer les périodes de soldes et de Black Friday poussant à une hyper-consommation,Emmanuelle,45
Il faut redonner du pouvoir aux citoyens pour prendre part aux décisions politiques de manière éclairée par référendum.,BRIGITTE,
Il faut inclure dans la constitution française le vote sanction afin de stopper des choix politique à l'encontre des citoyens et du pays,Bernard,
Il faut réaliser des études exhaustives dont les résultats sont accessibles à tous sur l’impact environnemental des comportements quotidiens,Michel,25
"Il faut faciliter le développement des matériaux biosourcés (filières locales et durables) : ouate de cellulose, lin, paille...",Marko,
"Il faut  prendre des mesures en rapport avec les pesticides, éloignement de 50 mètres des habitations et jardins privés.",Dominique,
"Il faut que l'Indice de Développement Humain de l'ONU (IDH) soit la nouvelle mesure de l'évolution de la société, et non le CAC40",Edouard,
"Il faut ré-industrialiser la France pour finalement consommer au plus près et mieux maîtriser le respect des normes établies, à renforcer.",Morgane,28
Il faut redonner de la dignité aux gens de la rue en leur proposant un travail d'intérêt général.,Laurent,55
"Il faut revaloriser le métier de professeur dans l'éducation publique (plus de prestige, et salaire plus élevé)",Adèle,29
"Il faut privilégier les moyens de transports doux/collectifs, et réduire/compenser les autres déplacements.",marion,29
Il faut arrêter de croire que tout rentre dans une logique de marché et trouver un bon mix de libéralisme régulé et une conscience du commun,François-Xavier,40
Il faut limiter le tourisme de masse.,YVES,
Il faut non pas une réforme mais un assainissement des finances publiques avec un contrôle citoyen des dépenses engagées.  ,Edouard,
Il faut sortir les voitures des villes et prioriser les transports en commun et le velo,Sabine,61
"Il faut arrêter de manger des fraises toute l'année, elles ont une saison!",Doris,
"Il faut que l'argent collecté par les policiers(non respect du confinement) aille aux hôpitaux, aux soignants et aux chercheurs, pas au T.P.",Isabelle,
Il faut revoir le modèle économique basé sur la croissance à tout prix,nathalie,44
Il faut réinventer ce qu’il est important d’apprendre à l’école et les moyens à mettre en place pour une pédagogie sur le modèle Finlandais,Stéphanie ,48
Il faut accroître l'isolation du parc immobilier au moyen d'incitations fiscales et d'aides administratives claires et simple à utiliser ,Edouard,
Il faut interdire l’importation de produits contenant de l’huile de palme.,Baudouin,27
"Il faut que dans le programme de l'éducation nationale les enfants soient reconnectés à la nature, pour qu'ils aient envie d'en prendre soin",Laure,47
"Il faut remettre l'humain au cœur de notre société. L'empathie dans l'éducation, remettre en avant le talent de chacun sans être formaté.",Christelle,
Il faut plafonner les richesses individuelles pour redistribuer le surplus vers des actions de développement durable.,Marie,30
"Il faut mettre fin au ""tout voiture"" (en mettant en place des moyens de substitution)",Valérie,
Il faut laisser à l'arrêt les grands pollueurs,Zyttern,
"Il faut supprimer les publicités incitant à manger de mauvais produits pour la santé, interdire les publicités de crédit à la consommation",Brigitte,
Il faut une Europe unie ou l'économique ne prend pas le dessus sur l'humain.,patrice,
"Il faut continuer même après le retour à la ""normale"" de faire marcher les associations aidant les plus démunis et isolés.",Marie,28
"Il faut généraliser le télétravail qui permet notamment de réduire l’utilisation de la voiture, l’affluence dans les transports en commun",Noëmie ,
"Il faut appliquer vraiment le principe de précaution avec des tests hors de tous conflits d’intérêts pour la 5G, les médicaments, etc...",Joséphine,
Il faut planter des haies et interdire les champs immenses non séparés par des haies (arrêter les subventions s'il n'y a pas de haie),sylvain,
Il faut limiter les productions industrielles et plafonner les plus hauts salaires. ,Nana,
"Il faut moins d'administratif et moins de paperasserie, pour plus d'efficience dans notre fonction publique",Lu0704JuMa80,
Il faut répartir uniformément sur la planète toute forme de production afin de réduire définitivement le transport ,CHOTTEAU,
"Il faut une ACV (Analyse de Cycles de Vie) pour toutes les nouvelles technologies (5G, voiture autonome, IA, etc.)",Julien,
Il faut interdire le lobbying et punir ceux qui s'y soumettent.,Beatrice,
"Il faut mettre en place une éducation sanitaire pour enfants et adultes, pour que chacun soit capable d’équilibrer son système immunitaire.",Christelle,
Il faut trouver une alternative à la voiture qui est un transport dépassé et obsolète de nos jours ,Baba,
"Il faut remettre la responsabilité individuelle et collective via l'éducation, la prévention...",Ronan,
"Il faut simplifier les procédures : permis de construire, création d’entreprise, déclaration d'impôts... parle moi comme si j’avais 6 ans",Lionel,47
Il faut valoriser le covoiturage pour les déplacements quotidiens (travail),CATHY,43
Il faut créer des groupes de discussions locaux pour faire émerger des décisions collectives et inclure ces méthodes aussi avec les enfants,Lea,27
"Il faut limiter les frais des politiques avec l'argent public, comme dans les pays nordiques. Un repas pro à 20€/pers, ok. A 200€/pers non !",Elodie,
Il faut impulser les orientations écologiques et durables au niveau européen ou national plutôt que miser sur les comportements individuels,Michel,57
"Il faut mettre à disposition des terrains ""en friche"" dans les villes pour permettre à des associations de les cultiver en permaculture ",clarys,
Il faut créer de grands projets pour la santé/ l’inclusion/ l’environnement trans-entreprises qui ajoute du sens à leur objectif initial,Laure,43
Il faut renforcer notre conscience sur nos modes de vie et de consommation et notre impact sur la planète.,Sandra,
Il faut arrêter la spécialisation des terres agricoles pour que chaque pays soit autosuffisant dans sa production alimentaire,Anaïs,
Il faut créer du lien entre nos villes et le milieu rural par l'invention d'interfaces numériques collaboratives et économiquement viables,Esté,35
Il faut ouvrir les abattoirs aux associations de défense des animaux pour la surveillance des bonnes pratiques . ,Romain,28
Il faut que cette crise mène à ne plus utiliser la nature comme réservoir inépuisable mais cohabiter respectueusement avec elle.,Elisabeth,38
"Il faut redistribuer les cartes pour le budget de l'Etat : priorité à la Santé, l'éducation, la biodiversité, le SMIC, freiner vente d'armes",MARIE-LAURE,67
Il faut réhabiliter les grands ensemble des banlieues,Muriel,55
"Il faut mettre au programme, dès la maternelle,  l'environnement,  la connaissance de la nature, la compréhension des écosystèmes.",Valérie ,
Il faut demander des comptes sur les aides attribuées aux entreprises  ,marie,
Il faut développer les énergies renouvelables et économiser l'énergie,YVES,
Il faut plafonner les rémunérations de l'exécutif s'il y a cumul de fonctions,Audrey,
Il faut créer des assemblées et des référendums citoyens pour toutes décisions législatives impactant la vie économique et sociale du pays.,Mélanie,34
Il faut agir pour l’environnement même à petite échelle : mettre des amendes si des déchets ou des mégots sont jetés hors des poubelles.,Céline,
Il faut développer la transparence fiscale pour une plus grande justice sociale et un meilleur partage des ressources dans la société,Léopold,
"Il faut développer l'autonomie alimentaire à l'échelle locale (commune, agglomération, etc.)",Camille,
Il faut prendre en compte le problème de la surpopulation humaine et de son impact sur l'environnement,Johann,
Il faut demander des comptes aux entreprises qui reçoivent de l'argent des caisses de l'état. Obliger à une transparence citoyenne,annie,
Il faut interdire les voitures dans les centres ville en créant des parking en périphérie et en mettant en place des navettes ,Lucas,23
"Il faut que l'Europe assure son auto suffisance alimentaire, sanitaire, et énergétique avec des solutions écologiques au maximum. ",Edouard,
Il faut faciliter l'accès aux sites naturels et touristiques aux personnes handicapées ( informations dans les offices tourismes cf Canada ),Carine,
Il faut laisser les bas côtés en ville comme à la campagne se garnir de ses multitudes d'herbes et de fleurs sauvages pour la biodiversité.,Blandine,
"Il faut renationaliser les hôpitaux, les chemins de fer, EDF et GDF, etc",Maya,
Il faut restreindre le nombre de vols aériens,Eva,
Il faut imposer une réciprocité aux pays qui exigent une production locale,sylvain,
Il faut établir une carte carbonne individuelle et taxé fortement ceux qui abusent de déplacements inutiles et polluants  (avions),Valérie ,56
"Il faut protéger les producteurs des distributeurs et de leurs intermédiaires, afin que le travail soit payé au juste prix",Franck,
Il faut mettre en place le référendum d'initiative citoyenne en toute matière.,Antoine,
Il faut interdire le licenciement dans les entreprises qui sont en capacité de verser des dividendes aux actionnaires. ,Lea,31
Il faut interdire les vols nationaux et européens lorsqu'il existe une alternative équivalente (temps et coût) par le train.,Laure,
"Il faut mettre en place des aides très significatives pour booster l'agriculture et ce, le plus rapidement possible",marie-france,
Il faut arrêter la production d'énergie par fission nucléaire afin de garantir la sécurité en cas de nouvelle catastrophe imprévisible,Martin,
Il faut décentraliser le pouvoir pour donner plus d'autonomie aux métropoles et aux municipalités.,Antoine,
"Il faut revenir à la consigne, arrêter le suremballage et le plastique, trouver des solutions pour du tout réutilisable et consommer durable",Florence,40
Il faut construire plus de voies cyclables et proposer de meilleurs réseaux de transports en commun.,Sylvie,
"Il faut réduire significativement le transport aérien : réduire drastiquement la production d'avions, même au détriment de l'emploi",Laurent,51
Il faut créer un quota de kilomètres aériens par personne et pour une durée afin de limiter par exemple à un long-courrier tous les deux ans,Jean,
Il faut mettre aux programmes des écoles : cours d’empathie et de méditation ,Alfred,45
"Il faut mettre, à la sortie des villes et bourgs, des abribus pour favoriser l'autostop ""Rézo Pouce"", le plus simple transport en commun",Philippe,70
"Il faut reconstruire l'éducation pour passer de la compétition à la coopération citoyenne, et apprendre par des méthodes actives.",Didier,
"Il faut agir à son échelle : chez soi, dans sa famille, dans son travail, dans sa communauté, dans son quartier, dans sa ville",David,
"Il faut sensibiliser, donc donner moins accès aux pubs et aux envies de consommation. Informer sur l'importance de l'engagement quotidien.",Samuel,
"Il faut Inciter les gens à utiliser des outils numériques éthiques comme linux ( emmabuntu, xubuntu, primtux) afin d'éviter l'obsolescence ",florent,38
Il faut créer de multiples zones dans nos espaces urbains pour que la biodiversité puisse se développer,Jean françois,60
Il faut imposer aux sociétés de payer leurs impôts et ne pas tricher avec l'optimisation fiscale,Anne,56
Il faut développer un système de santé facile d'accès pour tous,MARGUERITE,
"Il faut accélérer la suppression des emballages, renforcer l'information sur les gestes de réduction des déchets.",Brigitte,
"Il faut mesurer l'impact du confinement sur la nature et la qualité de vie de l'humanité, afin d'en dégager des actions",Perle,
Il faut mandater des citoyens pour contrôler les dépenses publiques,Anny,60
Il faut valoriser les produits made in France,Yasmine ,46
Il faut un système de taxation basé sur le rapport coût/bénéfice pour la société et incluant l'impact environnemental,Benoit,
Il faut organiser constitutionnellement les mécanismes démocratiques et décisionnaires en temps de crise.,Mathieu,
"Il faut arrêter avec la logique compétitive européenne, au profit d'une collaboration entre pays membres et entreprises de tout domaine",Edouard,
Il faut consommer ce que notre pays fabrique ,Valérie,
"Il faut créer des communautés plus autonomes où 100.000 / 200.000 personnes sont presque autonomes, dans des zones plus rurales",Hernan,
"Il faut mettre en place des systèmes d'entraide et les valoriser avec des revenus, crédits d'impôts... Afin que chacun participe",Lise,
Il faut relancer les aides à l'installation de panneaux solaires partout où c'est possible.,Philippe ,
Il faut abandonner nos certitudes dévastatrices qui consistent à opposer entreprises et services publics,Jean-Marie,
Il faut un service public de covoiturage pour les gens devant utiliser la voiture,Natàlia,
"Il faut supprimer les gaspillages d’énergie : interdire les climatiseurs dans les espaces publics, transports.. en remplaçant par l’aération",Anne,63
Il faut favoriser en aidant financièrement les citadins voulant mettre un toit végétal sur leur immeuble (potager ou espace partagé),Orianne,
Il faut ouvrir tout commerce de campagne,fabrice,
"Il faut mettre davantage de pistes cyclables, surtout dans les petites communes. ",Marion,37
Il faut tendre vers l'autonomie alimentaire et énergétique,valerie,48
"Il faut créer une nouvelle organisation du travail, notamment en télétravail pour les emplois administratifs, pour réduire les déplacements.",Christian,60
"Il faut réduire notre consommation de biens matériels et privilégier une économie circulaire, basée sur le partage et les services.",Nicoals,
Il faut allonger la durée du congé paternité,Anna,26
"Il faut éduquer à la santé (prévention, hygiène de vie) pour sauvegarder le capital santé et l'immunité, pour retarder/éviter la maladie",Marie,63
Il faut une transparence totale de tous les élus de la République.,Hugo,17
Il faut que les Etats aident les plus gros pollueurs à effectuer une transition au niveau du type de travail. ,Nico,
"Il faut que le télétravail devienne une norme, lorsque cela est possible. La crise COVID est une démonstration de sa faisabilité.",Marie,
Il faut arrêter avec le modèle industriel de masse ,Germaine,50
"Il faut taxer lourdement le transport aérien, et baisser les tarifs ferroviaires",Stephanie,35
Il faut réduire le temps de travail et la semaine scolaire pour du temps de qualité en famille,Claire,
"Il faut une cantine entièrement bio, alimentée par l’agriculture locale, avec au minimum une option végétalienne tous les jours.",Noémie,21
Il faut interdire les produits d'entretien et cosmétiques qui polluent l'environnement et les remplacer par des alternatives plus naturelles,Léna,
Il faut relancer l’industrie en Europe ,Marie,43
Il faut favoriser au maximum le télétravail pour limiter les déplacements non nécessaires ,Jonathan,
Il faut faire comprendre aux enfants les plus jeunes le rôle central de la nature dans notre futur système de vie,Frederique,46
Il faut poursuivre et accélérer la lutte contre le plastique malgré les lobbys industriels qui utilisent la crise en faveur du plastique.,Jon,
Il faut recycler les invendus alimentaires périmés en nourriture pour l'aquaponie.,Nicolas,40
Il faut garder nos écoles dans les petits villages.,cecile,
Il faut fixer comme objectif la suppression de la misère et s'en donner les moyens,dubois,
"Il faut remobiliser les Etats des pays développés autour de campagnes sanitaires d'intérêt général, car prévenir vaut mieux que guérir.",Caroline,
Il faut interdire les produits alimentaires malsains (ou leur imposer des taux de sucre et/ou sel moins dangereux pour la santé),valerie,
Il faut repenser l'organisation des transports dans sa globalité. La réduction des émissions de CO2 est constatable en peu de temps!,Marie,
"Il faut rediriger la PAC, racheter les terres d'agriculteurs à la retraite et les mettre à disposition de projets agro-écologiques",Bérénice,36
"Il faut que tous les domaines d’activité soient tournés vers le durable, l’écoresponsable. Cela ne doit plus marginal mais devienne la norme",Beryl,
"Il faut développer les transports en commun et soutenir les Transports alternatifs (Vélo, trottinette…) ",Matteo,26
Il faut revaloriser le contact de proximité dans son quartier et l'entraide citoyenne. ,Carine,
"Il faut inciter les municipalités à développer des services de mutualisation (prêt d'outils, partage de graines, courses pour seniors...) ",marie,
"Il faut soutenir les hôpitaux français et notre système de santé, arrêter de supprimer des lits ",Agnès ,
"Il faut intégrer le Référendum d'initiative Citoyenne En Toutes Matières dans la constitution. Comme en Suisse, en Californie et 33 autres..",Niko,
Il faut supprimer les lignes aériennes déjà assurées par des lignes ferroviaires,Nicolas,
Il faut sensibiliser la population à l'écologie et au jardinage dès le plus jeune âge en les inscrivant aux programmes scolaires.,Marion,29
Il faut transformer en profondeur notre administration pour remettre du sens dans la gestion des services publics,Arthur,
"Il faut que l'état soutienne les pédagogies d'enseignement dite alternatives (freinet, montessori) et former nos enseignants à ces pratiques",Neda,35
Il faut multiplier massivement les transports en commun pour réduire la place de la voiture.,S,
Il faut sanctuariser les terres arables ,Marianne,
Il faut inscrire dans les parcours de soin les médecines alternatives.,Julie,38
"Il faut pour chaque réfection de voirie, chaque nouvelle route créée, obligation de prévoir une voie réservée et séparée pour les cyclistes.",Colas,
Il faut instaurer un revenu minimum pour tous de 800€/personne,laurence,53
"Il faut appliquer une taxe proportionnelle à l'impact environnemental des produits, pour les particuliers comme pour les entreprises",Lisa,
Il faut mettre un terme aux vols low-cost ce qui réduira d'emblée le flux aérien qui augmente de façon catastrophique !,Brigitte,
"Il faut revenir à des circuits courts de commercialisation des produits, penser local, donc relocalisation, et penser à la décroissance.",Philippe,66
Il faut privilégier la rénovation plutôt que la construction,BOURLET,
Il faut une justice réhabilitative et réparatrice plutôt que punitive pour les délits,Davy Jones,24
Il faut taxer les dividendes pour financer le revenu universel,Davy Jones,24
Il faut afficher l'empreinte carbone d'un produit avec son prix dans toute l'UE.,Maxime,33
Il faut retrouver une souveraineté économique et monétaire pour financer librement la transition écologique .,greg,
Il faut obliger dans la loi les plateformes mondiales dématérialisées à utiliser des coopératives d'expédition nationales recrutant en CDI.,Hervé,59
Il faut Que les grandes entreprises réinvestissent a minima un tiers de leurs bénéfices dans la société et un autre tiers vers les salariés.,Louis,
"Il faut créer des Etats-Unis d'Europe et harmoniser les systèmes de santé, de protection sociale et les politiques salariales",Pat,55
Il faut encourager à acheter local en circuit court. Surtout pas de contrainte à la Soviétique !,Alexis,
"Il faut concentrer l’approvisionnement des supermarchés et hypermarchés en produits frais locaux, quitte à avoir moins de choix. ",Olivia,
Il faut produire localement ce que nous mangeons.,Brigitte ,61
"Il faut faciliter l'économie circulaire : consignes ou bons pour anciens objets,  systèmes de prêts (machine à coudre, outils de jardin...)",Floriane,
Il faut mettre en place l'éducation à la santé pour encourager les bonnes pratiques dès le plus jeune âge,Gaëlle,35
Il faut mettre en place le revenu universel ,jack,58
"Il faut éviter la concentration de population, aménager le territoire et prioriser la paysannerie facteur d'aménagement et de biodiversité",Lu0704JuMa80,
Il faut recréer du lien entre les générations et décloisonner les EHPAD avec les crèches et les personnes à handicap ,Guilherm,36
"Il faut stopper ou taxer un max les gains financiers, et faire payer l'impôt à tous et très fort pour ceux qui ont plus de 10 SMIC mensuel",Jean,73
Il faut replanter des arbres.,Pascale,
"Il ne faut plus personne dans la rue, il faut un toit pour chacun. Comment on fait, où, avec quel argent ?",hervé,16
Il faut faciliter les achats en circuit court,Nathalie,
"Il faut davantage communiquer sur la saisonnalité des produits, pour guider les consommateurs dans leurs achats. ",Apolline,
"Il faut créer un service public d'énergie solaire : installation directe par l'Etat chez les particuliers, sans intermédiaires douteux",Béatrice,
"Il faut travailler moins (revenu universel ?) pour avoir du temps à consacrer à soi, intervenir dans une asso, vers les personnes âgées ...",jean pierre,52
Il faut relocaliser toutes les usines parties en Asie.,Ve,
"Il faut afficher un double prix aux produits : celui du contenu, et celui du contenant/emballage incluant son recyclage local et écologique",Frédéric,
Il faut interdire les pesticides,benoit,
Il faut mettre en place un revenu universel,youheiwa,
"Il faut réorienter nos valeurs, via l'école notamment, vers le bien-être commun plutôt que la réussite personnelle",Benoit,
Il faut stopper les grands échanges commerciaux mondiaux pour privilégier les échanges à plus petites échelles.,Martine,63
Il faut absolument prendre en compte les outils numériques dans la transition avec ces 2 volets : avantages et inconvénients,Jean-Marie,
Il faut mettre en place un bilan carbone et taxer les produits polluant la planète,Thierry,
Il faut interdire à l’UE d’importer du soja en provenance d’Amérique du Sud. ,Noémie,21
Il faut taxer les emballages en matières plastiques qui nous polluent,Philippe,
Il faut produire et consommer local,Gaelle,34
"Il faut mettre la méditation, l’apprentissage de l’empathie et de l’entraide au cœur des programmes scolaires",Lea,31
"Il faut mettre en place des bureaux de quartiers/villages, centralisant livraisons, travail associatif, services aux personnes (isolées...)",Marie,28
Il faut créer un revenu universel étudiant,Hélène,47
Il faut décentraliser et fédérer notre État pour redonner le pouvoir d'agir et de décider au local. ,Anne,40
Il faut réinventer un système éducatif coopératif et créatif...,dominique,
Il faut limiter le nombre de voyage par avion autorisé pour chaque personne chaque année,Manu,52
Il faut repenser le système scolaire pour plus de place au développement personnel : enseignement théorique matin et activités l'après midi,Fabien,
"Il faut organiser une gouvernance mondiale globale, écologique et humaniste",Nadège,43
Il faut imposer que toutes les sociétés d'autoroute plantent des arbres le long de TOUS ces axes routiers ,Stéphanie,
Il faut augmenter les aides financières allouées à la rénovation énergétique des bâtiments.,Gauthier,35
"Il faut dénoncer & boycotter les plus grands producteurs de plastique (Coca Cola, Nestlé etc... ) ",Noémie,21
"Il faut animer la rencontre des citoyens, des artistes, des experts et des politiques pour construire un diagnostic partagé des besoins",Olivier,52
Il faut obliger l'isolation des vieux bâtiments qui sont des passoires énergétiques.,Julien,
"Il faut arrêter de créer des produits à une durée déterminée, penser à produire des produits recyclables.",montassr,
Il faut plafonner les salaires des grands patrons non fondateurs de leur entreprise,Gerard,
"Il faut se réapproprier notre agriculture, la rendre propre en multipliant les petites exploitations, encourager les reconversions",RACHEL,41
Il faut que chaque mairie ait un conseil citoyen environnemental qui statue chaque semaine et dont le bras armé est une brigade verte,Artemus,
"Il faut que la décroissance soit considérée comme l'unique voie économique possible, durable et viable.",Erika,36
Il faut limiter les voyages d'agrément à l'autre bout de la planète,Augustin,
Il faut valoriser et donner du pouvoir aux communautés de communes pour assurer les besoins de base de la population,anne,
"Il faut prendre en compte réellement les bulletins blancs lors des élections, et selon le nombre, recommencer le vote .",Francis,
Il faut interdire toutes les publicités qui poussent à la consommation de produits qui vont à l'encontre de la santé et de l'environnement.,Jon,
"Il faut arrêter de dépenser des milliards pour la conquête de l'espace, afin d'essayer de ""reconquérir""/embellir notre belle planète Terre",Magali,
"Il faut arrêter les privatisations (ADP, FDJ, Engie...)",Emile,
Il faut interdire l'accès aux terres agricoles aux capitaux étrangers.,Dominique,61
Il faut arrêter d'importer des produits en masse,Chantal,46
Il faut un plan national de conversion à l’agriculture biologique ,Marc,
Il faut sortir du capitalisme néo libéral en se recentrant sur une économie réelle et ne plus dépendre des marchés financiers.,lily,
Il faut davantage permettre aux français de s'investir dans les grandes transitions actuelles en développant davantage de plateformes,Arn,
Il faut combattre le changement écologique « quoi qu’il en coûte »,Romain,35
Il faut apprendre dès le plus jeune âge à cultiver afin que chacun puisse être autonome d'un point de vue alimentaire,Delphine,
Il faut favoriser et développer les transports en commun,isa,
"Il faut arrêter les phytosanitaires, qui détruisent nos abeilles et insectes au profil de lobbies ! ",Nicolas,40
Il faut taxer davantage le kérosène. ,Laurent,48
"Il faut taxer fortement les publicités des produits émetteurs de CO2 (SUV, avion, bateaux..).",Dominique,
Il faut que les gouvernements envisagent sérieusement un scénario de décroissance et proposent des modèles assurant prospérité et égalité,Arthur,
"Il faut apprendre aux enfants l'importance de chaque insecte, comment les fleurs sont pollinisées, comment les arbres régénèrent l'air",anne-sophie,36
"Il faut arrêter de donner du pouvoir aux professions qui ne produisent aucune richesse utile, et nuisent à l’intérêt collectif. ",Beryl,
Il faut remettre le vivant au coeur de nos décisions,MARGUERITE,
Il faut taxer les très riches au niveau mondial.,Nicolas,40
Il faut interdire les animaux dans les cirques,Juliette,
Il faut combattre impitoyablement les licenciements boursiers,Jean-yves,
Il faut arrêter l'énergie nucléaire et fossile pour passer au tout renouvelable dans un contexte de décroissance.,MyMy,
"Il faut interdire la circulation des voitures dans les villes en développant un réseau de transports en commun propre, efficace et gratuit.",Frederique,
"Il faut interdire les multinationales à produire dans plusieurs pays pour éviter la main d'oeuvre ""au meilleur coût"" ",Georgia,
"Il faut former dès l’école aux règles d’hygiène et de nutrition mais aussi au sens civique, celà a pour effet de protéger et de se protéger.",Founi,68
"Il faut une plus grande action de l'état par la planification économique , écologique et sociétale ",Jean,
Il faut réglementer de manière juste et informée le développement et l'utilisation de l'intelligence artificielle.,Loïc,
Il faut nettoyer toutes les zones polluées. ,Anne-laure,
"Il faut remplacer, d'ici 5 ans, les chaudières fioul par des pompes à chaleur",Florian,33
"Il faut que les contraventions soient proportionnelles aux revenus afin que l'impact soit le même pour les smicards, cadres et millionnaires",patrice,
"Il faut taxer les billets d'avion, limiter les déplacements par ce transport.",cecile,
"Il faut obtenir une réelle transparence quant à la gestion de nos comptes publics (à minima commune, département, région).",Sandrine,52
Il faut revoir les méthodes de travail : encourager le télétravail pour préserver un équilibre entre vie professionnelle et vie personnelle,Caroline,
Il faut donner des droits aux animaux,Robert,
Il faut revaloriser les métiers d'entretien et d'hygiène,Loïc,
Il faut former les sages femmes à la physiologie de l'accouchement pour accompagner les parents à se responsabiliser face à la mise au monde,Audrey,39
Il faut investir massivement dans les énergies vertes et le stockage performant de ces énergies.,Elodie,
"Il faut taxer plus fortement les industries pétrolières, pétrochimiques, les pollueurs de tous secteurs",Audrey,
Il faut taxer plus fortement les véhicules neufs ayant une consommation de carburant et des émissions trop élevées. ,Hélène,
Il faut favoriser la culture de fruits et légumes sur les espaces publics (incroyables et comestibles),Nathalie,
Il faut changer le prisme d’analyse de la performance des états et des entreprises : le bilan doit valoriser concrètement le bien être,OB1,
"Il faut réaménager l'espace urbain pour favoriser l'autonomie locale (alimentaire, santé, énergie, eau, transports)",Davy Jones,24
"Il faut que l'Europe soit plus réactive et égalitaire dans plusieurs domaines (paix, santé, économie, lois), il faut aboutir à une unité.",Christophe,53
Il faut punir tous les evadés fiscaux ,David,
Il faut créer un cercle de pays précurseurs dans l'UE: intégration éco renforcée avec pour corollaire protection de la planète et solidarité,Aurelien,24
"Il faut stopper la conquête de l’espace, ne plus y déployer tant d’énergie, privilégier nous autres et nos autres.",Rafaël,
Il faut empêcher le passage à la 5G,Romain,35
Il faut prendre en compte le vote blanc,Margaux,23
Il faut promouvoir l'information sur la consommation flexitarienne et végétarienne et accompagner les agriculteurs dans leur reconversion.,Luc,59
"Il faut intensifier les réseaux solidaires : passage de compétences, soutien scolaire, échanges en tout genre de proximité",Christine,
Il faut encourager l’agriculture urbaine,Gaelle,34
"Il faut taxer fortement les entreprises ne respectant pas les règles visant le respect de l'humain, l'environnement et l'animal",Magali,
Il faut mettre en place un service civique universel avant 18 ans pour former les individus à la citoyenneté ,Julia,
Il faut arrêter de payer de façon éhontée les sportifs professionnels et payer correctement les soignants ,Paul,
"Il faut consommer autrement... le numérique aussi (Youtube, Netflix...) !",Jean-Marie,
Il faut un programme éducatif enfants-parents sur la biodiversité relayé vers la formation continue selon partie de tout apprentissage,Régis,68
Il faut revoir l'enseignement dans les lycées agricoles pour aller vers plus de respect de la biodiversité.,Marie-Dominique,
"Il faut réglementer, pour imposer une durée minimale de télétravail pour toutes les activités qui le permettent",Daniel,55
"Il faut réduire le nombre de fonctionnaires dans les conseils généraux, administration intermédiaire ...au profit de hôpitaux, éducation...",Christophe,
Il faut l'heure d'hiver toute l'année pour être plus proche de la terre.,veronique,
Il faut aider les pays émergents à réussir leur transition démographique,Hélène,
"Il faut relancer les métiers artistiques, et généraliser l'accès à tous !",Thierry,
Il faut en finir avec le néo libéralisme.,Eric,52
